die Männer||les hommes|||||
die ruhigen Männer||les hommes calmes|||||
die Frauen||les femmes|||||
die ruhigen Frauen||les femmes calmes|||||
wir sind||nous sommes|||||
ich schreibe||j'écris|||||
le livre||das Buch|||||
elle lit||sie liest|||||
ihr habt||vous avez|||||
der Brief||la lettre|||||
wir lesen||nous lisons|||||
sie schreiben||ils écrivent|||||
sie schreiben||elles écrivent|||||
die Jungen||les garçons|||||
die Zeitung||le journal|||||
les livres rouges||die roten Bücher|||||
die Mädchen||les filles|||||
die Kinder||les enfants|||||
sie lesen||ils lisent|||||
sie lesen||elles lisent|||||
wir haben||nous avons|||||
sie essen||ils mangent|||||
sie essen||elles mangent|||||
